,Company Name,Governance Score 2020-21,Governance Score 2022-23,Governance Score 2023-24,Classification 2020-21,Classification 2022-23,Classification 2023-24,Change Classification,Stock Performance 2019-20,Stock Performance 2020-21,Stock Performance 2021-22,Stock Performance 2022-23,Stock Performance 2023-24,Stock Performance 2019-2024,Stock Performance 2015-2024,All Time Performance,Comparison 2019-20,Comparison 2020-21,Comparison 2021-22,Comparison 2022-23,Comparison 2023-24,Comparison 2019-2024,Comparison 2015-2024,All Time Comparison,Average Classification,Short Term Performance,Long Term Performance,Company Name Original,Ticker,Macro-Economic Sector,Sector,Industry,Basic Industry
147,barbeque-nationhospitalityltd,,79.5,32.4,,Adequate,Strong,Constant,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Strong,Worse,Worse,barbeque-nation hospitality limited,,,,,
148,basfindialtd,,79.1,21.1,,Adequate,Below Average,Constant,-19.74%,96.97%,48.42%,-21.12%,41.23%,140.26%,217.29%,4056.13%,Better,Better,Better,Worse,Better,Better,Better,Data Not Available,Below Average,Better,Better,basf india limited,BASF,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
149,bataindialtd,,80.1,33.8,,Adequate,Strong,Constant,-9.15%,32.91%,33.20%,-25.60%,-2.24%,4.69%,151.59%,7722.79%,Better,Worse,Better,Worse,Worse,Worse,Worse,Data Not Available,Strong,Worse,Worse,bata india limited,BATAINDIA,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
150,bataindialtd,,70.7,33.8,,Weak,Strong,Improved,-9.15%,32.91%,33.20%,-25.60%,-2.24%,4.69%,151.59%,7722.79%,Better,Worse,Better,Worse,Worse,Worse,Worse,Data Not Available,Below Average,Worse,Worse,bata india limited,BATAINDIA,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
151,bayercropscienceltd,,71.4,17.6,,Weak,Weak,Constant,-19.70%,77.77%,0.55%,-9.42%,34.41%,35.22%,73.02%,992.41%,Better,Worse,Worse,Worse,Worse,Worse,Worse,Data Not Available,Weak,Worse,Worse,bayer cropscience limited,BAYERCROP,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
152,bemlltd,,77.9,15.6,,Below Average,Weak,Constant,-52.53%,226.31%,31.75%,-2.83%,165.63%,308.65%,288.01%,4201.58%,Worse,Better,Better,Worse,Better,Better,Better,Data Not Available,Below Average,Better,Better,beml limited,BEML,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles,Construction Vehicles
153,bergerpaintsindialtd,,74.6,17.4,,Weak,Weak,Constant,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Weak,Worse,Worse,berger paints india limited,,,,,
154,bharatdynamicsltd,,79.0,15.9,,Adequate,Weak,Demoted,-32.37%,112.23%,56.10%,74.63%,93.29%,577.60%,408.98%,408.98%,Worse,Better,Better,Better,Better,Better,Better,Data Not Available,Below Average,Better,Better,bharat dynamics limited,BDL,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
155,bharatelectronicsltd,,79.3,20.1,,Adequate,Below Average,Constant,-14.77%,117.75%,70.10%,43.71%,120.47%,653.67%,647.36%,13856.43%,Better,Better,Better,Better,Better,Better,Better,Data Not Available,Below Average,Better,Better,bharat electronics limited,BEL,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
156,bharatforgeltd,,75.8,17.8,,Below Average,Weak,Constant,-51.84%,142.50%,17.91%,16.36%,46.45%,137.06%,86.57%,10568.57%,Worse,Better,Worse,Better,Better,Better,Worse,Data Not Available,Below Average,Better,Worse,bharat forge limited,BHARATFORG,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
157,bharatheavyelectricalsltd,,76.8,17.9,,Below Average,Weak,Constant,-68.47%,141.94%,-5.46%,39.05%,227.35%,278.76%,70.60%,5324.00%,Worse,Better,Worse,Better,Better,Better,Worse,Data Not Available,Below Average,Better,Worse,bharat heavy electricals limited,BHEL,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
158,bharatpetroleumcorporationltd,,85.8,16.6,,Strong,Weak,Demoted,-9.68%,67.15%,-8.62%,-1.92%,77.91%,114.92%,313.58%,8806.35%,Better,Worse,Worse,Worse,Better,Better,Better,Data Not Available,Below Average,Worse,Better,bharat petroleum corporation limited,BPCL,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Refineries & Marketing
159,bhartiairtelltd,,86.5,32.0,,Strong,Strong,Constant,44.83%,27.45%,45.67%,6.23%,63.05%,316.38%,272.42%,8305.54%,Better,Worse,Better,Better,Better,Better,Better,Data Not Available,Strong,Better,Better,bharti airtel limited,BHARTIARTL,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services
160,bikajifoodsinternationalltd,,74.8,18.4,,Weak,Weak,Constant,Data Not Available,Data Not Available,Data Not Available,14.22%,41.48%,54.80%,54.80%,54.80%,Data Not Available,Data Not Available,Data Not Available,Better,Better,Worse,Worse,Data Not Available,Weak,Better,Worse,bikaji foods international limited,BIKAJI,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
161,bioconltd,,84.8,19.4,,Strong,Below Average,Demoted,-12.13%,59.98%,-16.57%,-37.33%,32.12%,-13.57%,276.96%,656.43%,Better,Worse,Worse,Worse,Worse,Worse,Better,Data Not Available,Adequate,Worse,Better,biocon limited,BIOCON,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
162,birlacorporationltd,,81.4,16.4,,Adequate,Weak,Demoted,-17.84%,133.99%,43.23%,-16.21%,58.42%,190.89%,267.91%,7259.94%,Better,Better,Better,Worse,Better,Better,Better,Data Not Available,Below Average,Better,Better,birla corporation limited,BIRLACORPN,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
163,birlasoftltd,,84.4,38.3,,Strong,Strong,Constant,-34.16%,394.62%,85.15%,-40.30%,180.69%,741.21%,693.95%,26457.91%,Worse,Better,Better,Worse,Better,Better,Better,Data Not Available,Strong,Better,Better,birlasoft limited,BSOFT,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
164,blsinternationalservicesltd,,73.8,29.2,,Weak,Strong,Improved,-73.51%,194.76%,132.81%,189.94%,101.64%,1058.17%,1392.98%,1392.98%,Worse,Better,Better,Better,Better,Better,Better,Data Not Available,Below Average,Better,Better,bls international services limited,BLS,Consumer Discretionary,Consumer Services,Leisure Services,Tour Travel Related Services
165,bluedartexpressltd,,77.7,28.0,,Below Average,Adequate,Constant,-36.57%,165.67%,31.70%,0.66%,2.54%,81.03%,-15.60%,9582.61%,Worse,Better,Better,Better,Worse,Worse,Worse,Data Not Available,Below Average,Better,Worse,blue dart express limited,BLUEDART,Services,Services,Transport Services,Logistics Solution Provider
166,bluestarltd,,78.9,43.6,,Adequate,Strong,Constant,-29.76%,82.78%,18.05%,42.34%,76.34%,298.30%,840.15%,28401.82%,Worse,Worse,Worse,Better,Better,Better,Better,Data Not Available,Strong,Worse,Better,blue star limited,BLUESTARCO,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
167,bombayburmahtradingcorporationltd,,69.6,22.9,,Weak,Adequate,Improved,-42.32%,87.05%,-26.36%,-12.32%,85.98%,23.98%,255.76%,18823.12%,Worse,Worse,Worse,Worse,Better,Worse,Better,Data Not Available,Below Average,Worse,Better,bombay burmah trading corporation limited,BBTC,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
168,borosilrenewablesltd,,78.6,17.9,,Adequate,Weak,Demoted,-29.84%,654.06%,124.08%,-30.99%,12.14%,837.57%,887.07%,887.07%,Worse,Better,Better,Worse,Worse,Better,Better,Data Not Available,Below Average,Worse,Better,borosil renewables limited,BORORENEW,Industrials,Capital Goods,Industrial Products,Glass - Industrial
169,boschltd,,76.3,18.6,,Below Average,Weak,Constant,-48.22%,68.84%,1.38%,38.27%,67.12%,74.79%,21.17%,11044.01%,Worse,Worse,Worse,Better,Better,Worse,Worse,Data Not Available,Below Average,Worse,Worse,bosch limited,BOSCHLTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
170,brigadeenterprisesltd,,82.8,22.9,,Strong,Adequate,Constant,-20.11%,122.99%,106.27%,-8.75%,100.48%,480.04%,1007.59%,350.05%,Better,Better,Better,Worse,Better,Better,Better,Data Not Available,Strong,Better,Better,brigade enterprises limited,BRIGADE,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
171,britanniaindustriesltd,,71.0,19.2,,Weak,Below Average,Constant,-12.72%,75.18%,-8.22%,35.80%,17.14%,73.87%,423.89%,64769.56%,Better,Worse,Worse,Better,Worse,Worse,Better,Data Not Available,Below Average,Worse,Better,britannia industries limited,BRITANNIA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
172,ceinfosystemsltd,,80.2,31.7,,Adequate,Strong,Constant,Data Not Available,Data Not Available,8.55%,-37.08%,74.34%,34.20%,34.20%,34.20%,Data Not Available,Data Not Available,Worse,Worse,Better,Worse,Worse,Data Not Available,Strong,Worse,Worse,c.e. info systems limited,MAPMYINDIA,Information Technology,Information Technology,IT - Software,Software Products
173,campusactivewearltd,,77.5,22.9,,Below Average,Adequate,Constant,Data Not Available,Data Not Available,Data Not Available,-12.03%,-42.86%,-43.39%,-43.39%,-43.39%,Data Not Available,Data Not Available,Data Not Available,Worse,Worse,Worse,Worse,Data Not Available,Below Average,Worse,Worse,campus activewear limited,CAMPUS,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
174,canfinhomesltd,,84.5,30.7,,Strong,Strong,Constant,-13.29%,117.98%,5.52%,-11.38%,42.34%,139.26%,604.53%,22445.34%,Better,Better,Worse,Worse,Better,Better,Better,Data Not Available,Strong,Better,Better,can fin homes limited,CANFINHOME,Financial Services,Financial Services,Finance,Housing Finance Company
175,canarabank,,86.8,23.8,,Strong,Adequate,Constant,-66.70%,100.00%,51.83%,30.76%,112.70%,129.87%,74.61%,1883.21%,Worse,Better,Better,Better,Better,Better,Worse,Data Not Available,Strong,Better,Worse,canara bank,CANBK,Financial Services,Financial Services,Banks,Public Sector Bank
176,capriglobalcapitalltd,,84.8,32.2,,Strong,Strong,Constant,13.03%,133.21%,70.21%,11.16%,-64.81%,42.90%,550.52%,62.65%,Better,Better,Better,Better,Worse,Worse,Better,Data Not Available,Strong,Better,Better,capri global capital limited,CGCL,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
177,carborundumuniversalltd,,82.6,19.6,,Strong,Below Average,Demoted,-39.09%,171.21%,70.85%,26.95%,32.84%,252.94%,624.32%,368485.00%,Worse,Better,Better,Better,Worse,Better,Better,Data Not Available,Adequate,Better,Better,carborundum universal limited,CARBORUNIV,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings
178,castrolindialtd,,78.9,20.5,,Adequate,Below Average,Constant,-35.54%,38.60%,-11.26%,11.20%,81.62%,49.48%,10.41%,697.57%,Worse,Worse,Worse,Better,Better,Worse,Worse,Data Not Available,Below Average,Worse,Worse,castrol india limited,CASTROLIND,Energy,Oil Gas & Consumable Fuels,Petroleum Products,Lubricants
179,cclproductsindialtd,,73.2,21.1,,Weak,Below Average,Constant,-35.48%,53.75%,70.28%,46.10%,4.90%,121.48%,298.70%,11551.35%,Worse,Worse,Better,Better,Worse,Better,Better,Data Not Available,Below Average,Worse,Better,ccl products india limited,CCL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
180,ceatltd,,79.2,17.6,,Adequate,Weak,Demoted,-26.71%,144.55%,-38.93%,47.31%,92.89%,153.75%,284.06%,1804.10%,Worse,Better,Worse,Better,Better,Better,Better,Data Not Available,Below Average,Better,Better,ceat limited,CEATLTD,Consumer Discretionary,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
181,centralbankofindia,,74.4,20.5,,Weak,Below Average,Constant,-63.38%,41.74%,15.41%,26.51%,149.69%,78.77%,-41.74%,-27.68%,Worse,Worse,Worse,Better,Better,Worse,Worse,Data Not Available,Below Average,Worse,Worse,central bank of india,CENTRALBK,Financial Services,Financial Services,Banks,Public Sector Bank
182,centuryplyboardsindialtd,,78.6,20.2,,Adequate,Below Average,Constant,-43.93%,210.94%,140.28%,-32.49%,36.80%,225.51%,169.76%,3650.55%,Worse,Better,Better,Worse,Better,Better,Better,Data Not Available,Below Average,Better,Better,century plyboards india limited,CENTURYPLY,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
183,centurytextilesandindustriesltd,,76.0,29.7,,Below Average,Strong,Improved,-66.61%,91.99%,76.97%,-21.51%,148.20%,87.78%,205.79%,-57.59%,Worse,Better,Better,Worse,Better,Worse,Better,Data Not Available,Adequate,Better,Better,century textiles and industries limited,CENTURYTEX,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products
184,cerasanitarywareltd,,81.6,20.3,,Strong,Below Average,Demoted,-12.95%,76.01%,29.21%,34.69%,10.34%,158.76%,176.71%,10593.82%,Better,Worse,Better,Better,Worse,Better,Better,Data Not Available,Adequate,Better,Better,cera sanitaryware limited,CERA,Consumer Discretionary,Consumer Durables,Consumer Durables,Sanitary Ware
185,cescltd,,73.6,16.8,,Weak,Weak,Constant,-40.80%,52.80%,33.51%,-5.15%,83.63%,117.06%,213.62%,9791.11%,Worse,Worse,Better,Worse,Better,Better,Better,Data Not Available,Weak,Worse,Better,cesc limited,CESC,Utilities,Power,Power,Integrated Power Utilities
186,cgpowerandindustrialsolutionsltd,,78.2,15.9,,Below Average,Weak,Constant,-88.63%,1094.64%,206.31%,76.58%,83.08%,1128.08%,859.96%,2512561.27%,Worse,Better,Better,Better,Better,Better,Better,Data Not Available,Below Average,Better,Better,cg power and industrial solutions limited,CGPOWER,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
187,chalethotelsltd,,78.5,30.2,,Below Average,Strong,Improved,-36.12%,-28.02%,93.44%,34.92%,143.67%,175.04%,202.81%,202.81%,Worse,Worse,Better,Better,Better,Better,Better,Data Not Available,Adequate,Better,Better,chalet hotels limited,CHALET,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
188,chambalfertilizersandchemicalsltd,,78.8,19.4,,Adequate,Below Average,Constant,-29.03%,136.29%,95.70%,-37.35%,30.19%,145.61%,555.02%,5898.73%,Worse,Better,Better,Worse,Worse,Better,Better,Data Not Available,Below Average,Worse,Better,chambal fertilizers and chemicals limited,CHAMBLFERT,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
189,chemplastsanmarltd,,79.6,17.1,,Adequate,Weak,Demoted,Data Not Available,Data Not Available,24.19%,-41.58%,26.72%,-15.98%,-15.98%,-15.98%,Data Not Available,Data Not Available,Better,Worse,Worse,Worse,Worse,Data Not Available,Below Average,Worse,Worse,chemplast sanmar limited,CHEMPLASTS,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
190,cholamandalamfinancialholdingsltd,,83.6,34.3,,Strong,Strong,Constant,-39.12%,64.03%,3.25%,-10.61%,98.65%,133.87%,372.33%,53482.74%,Worse,Worse,Worse,Worse,Better,Better,Better,Data Not Available,Strong,Worse,Better,cholamandalam financial holdings limited,CHOLAHLDNG,Financial Services,Financial Services,Finance,Investment Company
191,cholamandalaminvestmentandfinancecompanyltd,,85.6,30.4,,Strong,Strong,Constant,-42.89%,311.89%,26.38%,9.38%,53.54%,336.72%,940.24%,26574.01%,Worse,Better,Better,Better,Better,Better,Better,Data Not Available,Strong,Better,Better,cholamandalam investment and finance company limited,CHOLAFIN,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
192,cieautomotiveindialtd,,77.2,18.8,,Below Average,Weak,Constant,-71.20%,135.40%,6.05%,103.65%,31.89%,96.95%,138.02%,115.65%,Worse,Better,Worse,Better,Worse,Worse,Worse,Data Not Available,Below Average,Worse,Worse,cie automotive india limited,CIEINDIA,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
193,ciplaltd,,84.3,21.4,,Strong,Below Average,Demoted,-19.06%,117.22%,32.45%,-13.85%,75.00%,191.88%,122.49%,20059.99%,Better,Better,Better,Worse,Better,Better,Worse,Data Not Available,Adequate,Better,Worse,cipla limited,CIPLA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
194,cityunionbankltd,,85.8,25.3,,Strong,Adequate,Constant,-35.25%,20.05%,-23.78%,5.70%,6.10%,-31.03%,81.87%,10983.81%,Worse,Worse,Worse,Better,Worse,Worse,Worse,Data Not Available,Strong,Worse,Worse,city union bank limited,CUB,Financial Services,Financial Services,Banks,Private Sector Bank
195,cleanscienceandtechnologyltd,,81.2,14.6,,Adequate,Weak,Demoted,Data Not Available,Data Not Available,25.68%,-39.08%,-1.36%,-15.56%,-15.56%,-15.56%,Data Not Available,Data Not Available,Better,Worse,Worse,Worse,Worse,Data Not Available,Below Average,Worse,Worse,clean science and technology limited,CLEAN,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
196,coalindialtd,,76.5,9.9,,Below Average,Weak,Constant,-34.17%,12.01%,51.07%,29.59%,115.29%,198.69%,144.19%,235.16%,Worse,Worse,Better,Better,Better,Better,Worse,Data Not Available,Below Average,Better,Worse,coal india limited,COALINDIA,Energy,Oil Gas & Consumable Fuels,Consumable Fuels,Coal
197,cochinshipyardltd,,80.8,18.5,,Adequate,Weak,Demoted,-27.00%,80.02%,-14.70%,63.10%,290.97%,468.63%,320.25%,320.25%,Worse,Worse,Worse,Better,Better,Better,Better,Data Not Available,Below Average,Worse,Better,cochin shipyard limited,COCHINSHIP,Industrials,Capital Goods,Industrial Manufacturing,Ship Building & Allied Services
198,coforgeltd,,75.1,29.1,,Weak,Strong,Improved,-12.48%,241.33%,54.42%,-12.72%,50.51%,340.93%,1588.78%,6893.05%,Better,Better,Better,Worse,Better,Better,Better,Data Not Available,Below Average,Better,Better,coforge limited,COFORGE,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
199,colgatepalmoliveindialtd,,84.5,18.8,,Strong,Weak,Demoted,1.15%,47.68%,0.25%,1.52%,85.48%,141.01%,224.64%,5446.25%,Better,Worse,Worse,Better,Better,Better,Better,Data Not Available,Below Average,Better,Better,colgate palmolive india limited,COLPAL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
200,containercorporationofindialtd,,76.4,22.0,,Below Average,Adequate,Constant,-34.15%,102.86%,21.30%,-3.97%,50.20%,85.63%,98.12%,3854.67%,Worse,Better,Better,Worse,Better,Worse,Worse,Data Not Available,Below Average,Better,Worse,container corporation of india limited,CONCOR,Services,Services,Transport Services,Logistics Solution Provider
201,coromandelinternationalltd,,80.2,16.7,,Adequate,Weak,Demoted,16.63%,58.96%,7.15%,4.18%,25.46%,143.09%,356.78%,15136.88%,Better,Worse,Worse,Better,Worse,Better,Better,Data Not Available,Below Average,Worse,Better,coromandel international limited,COROMANDEL,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
202,craftsmanautomationltd,,85.3,18.4,,Strong,Weak,Demoted,Data Not Available,-1.12%,64.28%,60.78%,50.24%,201.88%,201.88%,201.88%,Data Not Available,Worse,Better,Better,Better,Better,Better,Data Not Available,Below Average,Better,Better,craftsman automation limited,CRAFTSMAN,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
203,creditaccessgrameenltd,,83.4,36.6,,Strong,Strong,Constant,-28.68%,43.25%,23.06%,14.51%,51.69%,204.74%,241.52%,241.52%,Worse,Worse,Better,Better,Better,Better,Better,Data Not Available,Strong,Better,Better,creditaccess grameen limited,CREDITACC,Financial Services,Financial Services,Finance,Microfinance Institutions
204,cromptongreavesconsumerelectricalsltd,,87.9,18.9,,Strong,Weak,Demoted,-4.59%,108.07%,-3.85%,-25.16%,-7.51%,26.37%,109.04%,109.04%,Better,Better,Worse,Worse,Worse,Worse,Worse,Data Not Available,Below Average,Worse,Worse,crompton greaves consumer electricals limited,CROMPTON,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
205,csbbankltd,,85.8,32.9,,Strong,Strong,Constant,-60.66%,126.45%,-14.20%,11.74%,44.37%,18.15%,18.15%,18.15%,Worse,Better,Worse,Better,Better,Worse,Worse,Data Not Available,Strong,Better,Worse,csb bank limited,CSBBANK,Financial Services,Financial Services,Banks,Private Sector Bank
206,cumminsindialtd,,81.0,19.3,,Adequate,Below Average,Constant,-55.45%,138.08%,27.53%,57.12%,86.37%,340.30%,309.11%,12572.63%,Worse,Better,Better,Better,Better,Better,Better,Data Not Available,Below Average,Better,Better,cummins india limited,CUMMINSIND,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines
207,cyientltd,,81.6,28.2,,Strong,Adequate,Constant,-63.14%,181.19%,41.49%,13.97%,114.94%,247.95%,367.24%,2805.50%,Worse,Better,Better,Better,Better,Better,Better,Data Not Available,Strong,Better,Better,cyient limited,CYIENT,Information Technology,Information Technology,IT - Services,IT Enabled Services
208,daburindialtd,,84.0,17.2,,Strong,Weak,Demoted,6.56%,37.37%,1.44%,0.08%,-0.75%,28.28%,110.53%,7978.15%,Better,Worse,Worse,Better,Worse,Worse,Worse,Data Not Available,Below Average,Worse,Worse,dabur india limited,DABUR,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
209,dalmiabharatltd,,72.0,19.7,,Weak,Below Average,Constant,-51.49%,288.60%,-5.34%,38.98%,6.99%,94.52%,74.88%,74.88%,Worse,Better,Worse,Better,Worse,Worse,Worse,Data Not Available,Below Average,Worse,Worse,dalmia bharat limited,DALBHARAT,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
210,datapatternsindialtd,,80.3,25.4,,Adequate,Adequate,Constant,Data Not Available,Data Not Available,-6.90%,103.92%,73.51%,222.69%,222.69%,222.69%,Data Not Available,Data Not Available,Worse,Better,Better,Better,Better,Data Not Available,Adequate,Better,Better,data patterns (india) limited,DATAPATTNS,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
211,dcmshriramltd,,74.1,19.3,,Weak,Below Average,Constant,-46.42%,152.95%,117.57%,-28.76%,6.01%,123.56%,790.34%,20977.05%,Worse,Better,Better,Worse,Worse,Better,Better,Data Not Available,Below Average,Worse,Better,dcm shriram limited,DCMSHRIRAM,Diversified,Diversified,Diversified,Diversified
212,deepakfertilisersandpetrochemicalscorporationltd,,73.5,19.4,,Weak,Below Average,Constant,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Data Not Available,Below Average,Worse,Worse,deepak fertilisers and petrochemicals corporation limited,,,,,
213,deepaknitriteltd,,81.7,16.9,,Strong,Weak,Demoted,46.37%,411.27%,46.68%,-18.51%,18.81%,714.55%,3185.27%,14122.56%,Better,Better,Better,Worse,Worse,Better,Better,Data Not Available,Below Average,Better,Better,deepak nitrite limited,DEEPAKNTR,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
214,delhiveryltd,,83.2,22.8,,Strong,Adequate,Constant,Data Not Available,Data Not Available,Data Not Available,-38.17%,35.47%,-16.93%,-16.93%,-16.93%,Data Not Available,Data Not Available,Data Not Available,Worse,Better,Worse,Worse,Data Not Available,Strong,Better,Worse,delhivery limited,DELHIVERY,Services,Services,Transport Services,Logistics Solution Provider
215,devyaniinternationalltd,,75.4,28.2,,Weak,Adequate,Improved,Data Not Available,Data Not Available,41.90%,-10.60%,6.06%,21.82%,21.82%,21.82%,Data Not Available,Data Not Available,Better,Worse,Worse,Worse,Worse,Data Not Available,Below Average,Worse,Worse,devyani international limited,DEVYANI,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants
216,dhanukaagritechltd,,70.4,16.3,,Weak,Weak,Constant,-20.42%,130.86%,3.17%,-15.35%,58.17%,158.98%,75.14%,1260.25%,Better,Better,Worse,Worse,Better,Better,Worse,Data Not Available,Weak,Better,Worse,dhanuka agritech limited,DHANUKA,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
217,divgitorqtransfersystemsltd,,79.0,17.0,,Adequate,Weak,Demoted,Data Not Available,Data Not Available,Data Not Available,8.80%,21.47%,27.69%,27.69%,27.69%,Data Not Available,Data Not Available,Data Not Available,Better,Worse,Worse,Worse,Data Not Available,Below Average,Better,Worse,divgi torqtransfer systems limited,DIVGIITTS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
218,divislaboratoriesltd,,79.0,20.6,,Adequate,Below Average,Constant,21.73%,95.64%,29.78%,-36.16%,25.48%,115.06%,312.68%,46709.06%,Better,Better,Better,Worse,Worse,Better,Better,Data Not Available,Below Average,Better,Better,divis laboratories limited,DIVISLAB,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
219,dixontechnologiesindialtd,,83.7,28.4,,Strong,Adequate,Constant,45.19%,471.48%,6.32%,-36.50%,158.06%,1418.82%,1198.77%,1198.77%,Better,Better,Worse,Worse,Better,Better,Better,Data Not Available,Strong,Better,Better,dixon technologies india limited,DIXON,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
220,dlfltd,,77.9,47.6,,Below Average,Strong,Improved,-28.77%,128.72%,31.01%,1.58%,146.04%,377.71%,519.74%,84.16%,Worse,Better,Better,Better,Better,Better,Better,Data Not Available,Adequate,Better,Better,dlf limited,DLF,Consumer Discretionary,Realty,Realty,Residential Commercial Projects
221,dollarindustriesltd,,74.0,21.1,,Weak,Below Average,Constant,-61.45%,130.91%,132.14%,-38.08%,39.98%,87.22%,95.90%,95.90%,Worse,Better,Better,Worse,Better,Worse,Worse,Data Not Available,Below Average,Better,Worse,dollar industries limited,DOLLAR,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
222,drlalpathlabsltd,,82.3,24.9,,Strong,Adequate,Constant,30.91%,117.37%,2.02%,-30.99%,28.41%,116.61%,187.99%,187.99%,Better,Better,Worse,Worse,Worse,Better,Better,Data Not Available,Strong,Worse,Better,dr. lal path labs limited,LALPATHLAB,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider
223,drreddyslaboratoriesltd,,87.0,22.9,,Strong,Adequate,Constant,14.30%,64.18%,-0.89%,16.22%,40.43%,131.39%,89.11%,12582.63%,Better,Worse,Worse,Better,Better,Better,Worse,Data Not Available,Strong,Better,Worse,dr. reddys laboratories limited,DRREDDY,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
224,eclerxservicesltd,,84.7,32.6,,Strong,Strong,Constant,-68.26%,198.94%,146.11%,-16.04%,69.61%,209.32%,216.72%,1923.49%,Worse,Better,Better,Worse,Better,Better,Better,Data Not Available,Strong,Better,Better,eclerx services limited,ECLERX,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
225,edelweissfinancialservicesltd,,78.1,30.9,,Below Average,Strong,Improved,-80.42%,70.85%,-25.05%,-0.88%,125.55%,-32.81%,132.12%,18.84%,Worse,Worse,Worse,Worse,Better,Worse,Worse,Data Not Available,Adequate,Worse,Worse,edelweiss financial services limited,EDELWEISS,Financial Services,Financial Services,Finance,Holding Company
